RxPhy,RSSI,Time,MCC,Wi-Fi Ookla UL,Lat,BW ,BSSID,MNC,Long,RSRQ,dataset,Wi-Fi Ookla RTT,EARFCN,PCI,Device/OS,Wi-Fi Ookla DL,Cellular Ookla UL,RSRP,Cellular Ookla RTT,TxPhy,Channel,SSID,TAC,CID,Band,TA,Cellular Ookla DL,Gate / Landmark
,,,310.0,94.1,,,A8:53:7D:22:03:B4,260.0,,-10.0,B Concourse-iOS-17,9.0,,232.0,iOS AT&T iPhone 17,91.9,0.24,-89.0,53.0,,153.0,,20422.0,15307277.0,5.0,,36.4,B8
,,,310.0,141.0,,,A8:53:7D:22:02:0A,260.0,,-10.0,B Concourse-iOS-17,26.0,,232.0,iOS AT&T iPhone 17,91.6,0.33,-91.0,45.0,,149.0,,20422.0,15307277.0,5.0,,15.3,B9
,,,310.0,163.0,,,A8:53:7D:22:04:14,260.0,,-11.0,B Concourse-iOS-17,7.0,,232.0,iOS AT&T iPhone 17,160.0,2.35,-98.0,32.0,,153.0,,20422.0,15307277.0,5.0,,308.0,B10
,,,310.0,83.2,,,A8:53:7D:22:02:0A,260.0,,-10.0,B Concourse-iOS-17,26.0,,232.0,iOS AT&T iPhone 17,100.0,0.14,-94.0,62.0,,149.0,,20422.0,15307277.0,5.0,,19.4,B11
,,,310.0,135.0,,,A8:53:7D:22:07:DA,260.0,,-8.0,B Concourse-iOS-17,19.0,,232.0,iOS AT&T iPhone 17,89.0,0.52,-93.0,50.0,,36.0,,20422.0,15307277.0,5.0,,311.0,B12
,,,310.0,49.6,,,A8:53:7D:22:0F:2A,260.0,,-10.0,B Concourse-iOS-17,8.0,,232.0,iOS AT&T iPhone 17,91.8,0.59,-102.0,41.0,,48.0,,20422.0,15307277.0,5.0,,94.6,B13
,,,310.0,49.9,,,,260.0,,-10.0,B Concourse-iOS-17,10.0,,232.0,iOS AT&T iPhone 17,93.7,0.88,-98.0,88.0,,,,20422.0,15307277.0,,,194.0,B14/15
206.0,-59.0,,310.0,171.0,,20.0,3C:94:FD:2E:1A:33,410.0,,-6.0,A Concourse-Android,7.0,850,24.0,Android AT&T Pixel 8 Pro,157.0,71.5,-72.0,27.0,270.0,48.0,Helium,6404.0,19649.0,5.0,3.0,449.0,A1
172.0,-64.0,,310.0,102.0,,20.0,3C:94:FD:2E:07:43,410.0,,-7.0,A Concourse-Android,9.0,850,24.0,Android AT&T Pixel 8 Pro,102.0,70.3,-82.0,21.0,162.0,36.0,,6404.0,19649.0,5.0,3.0,450.0,A2
216.0,-53.0,,310.0,124.0,,20.0,3C:94:FD:2E:4E:83,410.0,,-6.0,A Concourse-Android,35.0,850,24.0,Android AT&T Pixel 8 Pro,124.0,75.0,-76.0,24.0,258.0,157.0,,6404.0,19649.0,5.0,4.0,406.0,A3
286.0,-51.0,,310.0,32.7,,20.0,3C:94:FD:2E:4E:E3,410.0,,-9.0,A Concourse-Android,8.0,850,24.0,Android AT&T Pixel 8 Pro,86.4,77.6,-81.0,21.0,286.0,48.0,,6404.0,19649.0,5.0,4.0,443.0,A4
195.0,-61.0,,310.0,102.0,,20.0,3C:94:FD:2E:4B:B3,410.0,,-4.0,A Concourse-Android,9.0,850,24.0,Android AT&T Pixel 8 Pro,76.6,71.2,-78.0,27.0,206.0,149.0,,6404.0,19649.0,5.0,4.0,436.0,A5
172.0,-63.0,,310.0,140.0,,20.0,D4:20:B0:71:9A:72,410.0,,-5.0,A Concourse-Android,8.0,850,11.0,Android AT&T Pixel 8 Pro,129.0,74.0,-84.0,20.0,229.0,48.0,,6404.0,19648.0,5.0,2.0,426.0,A6
103.0,-76.0,,310.0,100.0,,10.0,D4:20:B0:71:9A:72,410.0,,-7.0,A Concourse-Android,12.0,66986,11.0,Android AT&T Pixel 8 Pro,57.8,44.6,-79.0,43.0,162.0,48.0,,6404.0,19648.0,5.0,3.0,320.0,A7
130.0,-71.0,,310.0,113.0,,20.0,D4:20:B0:71:A0:AB,410.0,,-4.0,A Concourse-Android,25.0,850,11.0,Android AT&T Pixel 8 Pro,72.5,78.0,-62.0,24.0,137.0,36.0,,6404.0,19648.0,5.0,2.0,413.0,A8
229.0,-54.0,,310.0,48.8,,20.0,D4:20:B0:71:A0:AB,410.0,,-5.0,A Concourse-Android,42.0,850,11.0,Android AT&T Pixel 8 Pro,58.0,72.0,-82.0,23.0,172.0,36.0,,6404.0,19648.0,5.0,3.0,393.0,A9
172.0,-53.0,,310.0,170.0,,20.0,D4:20:B0:71:93:E2,410.0,,-5.0,A Concourse-Android,8.0,850,10.0,Android AT&T Pixel 8 Pro,143.0,87.2,-78.0,28.0,270.0,157.0,,6404.0,19648.0,5.0,2.0,273.0,A10
97.0,-74.0,,310.0,70.3,,20.0,D4:20:B0:71:93:E3,410.0,,-6.0,A Concourse-Android,9.0,850,10.0,Android AT&T Pixel 8 Pro,61.1,66.8,-75.0,29.0,154.0,157.0,,6404.0,19648.0,5.0,4.0,374.0,A11
162.0,-66.0,,310.0,115.0,,20.0,D4:20:B0:CD:D7:62,410.0,,-5.0,A Concourse-Android,9.0,850,10.0,Android AT&T Pixel 8 Pro,130.0,27.3,-82.0,24.0,229.0,153.0,,6404.0,19648.0,5.0,3.0,308.0,A12
137.0,-71.0,,310.0,104.0,,10.0,D4:20:B0:CD:D7:63,410.0,,-7.0,A Concourse-Android,9.0,66986,10.0,Android AT&T Pixel 8 Pro,77.8,73.9,-86.0,25.0,130.0,153.0,,6404.0,19648.0,5.0,2.0,401.0,A13
172.0,-64.0,,310.0,144.0,,20.0,D4:20:B0:CD:DA:3A,410.0,,-5.0,A Concourse-Android,8.0,850,10.0,Android AT&T Pixel 8 Pro,124.0,79.2,-73.0,23.0,216.0,161.0,,6404.0,19648.0,5.0,2.0,470.0,A14
258.0,-57.0,,310.0,176.0,,20.0,D4:20:B0:CD:DA:3A,410.0,,-6.0,A Concourse-Android,9.0,850,10.0,Android AT&T Pixel 8 Pro,174.0,75.7,-82.0,35.0,258.0,161.0,,6404.0,19648.0,5.0,3.0,450.0,A15
206.0,-65.0,,310.0,143.0,,20.0,D4:20:B0:CD:DA:3A,410.0,,-5.0,A Concourse-Android,25.0,850,10.0,Android AT&T Pixel 8 Pro,139.0,78.9,-82.0,21.0,195.0,161.0,,6404.0,19648.0,5.0,2.0,348.0,A16
228.0,-54.0,,310.0,170.0,,20.0,a8:53:7d:21:fd:2a,410.0,,-13.0,D Concourse-Android,9.0,850.0,105.0,Android AT&T Pixel 8 Pro,146.0,3.0,-113.0,33.0,229.0,161.0,Helium,6404.0,18407.0,5.0,32.0,14.0,D1
